Location of the measurement;Latitude;Longitude;Amount of nitrates (mg/L [ppm])
Hers;43.6353;1.4787;2
Blagnac bridge;43.62472735;1.401162253;0.5
Downstream of the Ginestou wastewater treatment plant;43.6349;1.4215;0.5
Upstream of the Ginestou wastewater treatment plant;43.62375;1.42014;0.5
“Pont Neuf”;43.59933475;1.438821474;0.5
“Saint Pierre” bridge;43.60248566;1.434998539;0.5
Brienne Canal;43.60737888;1.427737184;0.5
Passerelle de la Poudrière;43.57750271;1.435271296;0.5
Poudrière park dam;43.57686024;1.430742247;1
Stream behind the Poudrière park;43.57654673;1.429972757;0.5
